#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
14,"Grbovic, Andrija",*,24,6 - 12,2 - 6,3 - 4,2 - 1,3,3,1,0,1,0,17,23580,Arizona St.
4,"Ford, Bryce",*,25,4 - 15,3 - 12,3 - 4,0 - 3,3,2,0,0,0,2,14,23580,Arizona St.
1,"Trouet, Santiago",*,28,5 - 7,1 - 2,2 - 2,2 - 5,7,1,0,2,0,2,13,23580,Arizona St.
5,"Odum, Maurice",*,26,2 - 6,1 - 3,0 - 0,0 - 4,4,4,6,2,0,2,5,23580,Arizona St.
7,"Wallace, Vijay",*,14,0 - 2,0 - 2,1 - 2,0 - 2,2,2,3,2,1,1,1,23580,Arizona St.
2,"Johnson, Anthony",,25,9 - 15,2 - 4,7 - 8,2 - 5,7,3,5,1,0,2,27,23580,Arizona St.
12,"Best, Trevor",,17,3 - 7,1 - 3,0 - 0,1 - 1,2,2,0,3,0,1,7,23580,Arizona St.
15,"Meeusen, Noah",,21,0 - 3,0 - 3,2 - 2,0 - 1,1,3,2,1,0,1,2,23580,Arizona St.
11,"Polk, Kash",,15,1 - 2,0 - 1,0 - 1,2 - 1,3,2,0,0,1,1,2,23580,Arizona St.
24,"Salane, Dame",,5,0 - 0,0 - 0,0 - 0,0 - 1,1,1,0,0,1,0,0,23580,Arizona St.
Totals,Totals,,200,30-69,10-36,18-23,9-25,34,23,17,11,4,12,88,23580,Arizona St.
3,"Griffen, Rylan",*,23,4 - 8,4 - 7,4 - 4,0 - 2,2,4,0,1,1,2,16,23580,Texas A&M
33,"Federiko, Federiko",*,23,3 - 3,0 - 0,5 - 7,1 - 3,4,4,0,2,1,1,11,23580,Texas A&M
00,"Hill, Marcus",*,24,4 - 8,0 - 1,1 - 6,2 - 5,7,3,2,3,0,0,9,23580,Texas A&M
12,"Agee, Rashaun",*,22,2 - 5,1 - 2,3 - 4,2 - 6,8,3,1,5,0,0,8,23580,Texas A&M
5,"Lane, Jacari",*,15,1 - 4,0 - 0,4 - 4,1 - 2,3,1,4,3,0,0,6,23580,Texas A&M
7,"Clemence, Zach",,20,6 - 9,5 - 6,3 - 4,4 - 3,7,2,0,1,1,1,20,23580,Texas A&M
9,"Dominguez, Rubén",,20,2 - 7,2 - 7,3 - 4,0 - 1,1,0,0,2,0,1,9,23580,Texas A&M
1,"Holloway, Josh",,21,3 - 5,0 - 1,2 - 2,0 - 5,5,1,9,1,0,1,8,23580,Texas A&M
6,"Dibba, Ali",,17,3 - 7,1 - 2,1 - 1,0 - 2,2,2,0,0,0,0,8,23580,Texas A&M
4,"Vinson, Jamie",,6,0 - 1,0 - 0,0 - 2,0 - 2,2,0,0,0,0,0,0,23580,Texas A&M
8,"Shelby, Noah",,4,0 - 2,0 - 2,0 - 0,0 - 0,0,0,0,0,0,0,0,23580,Texas A&M
10,"Green, Jeremiah",,4,0 - 1,0 - 1,0 - 0,0 - 0,0,1,1,0,0,0,0,23580,Texas A&M
14,"McDermott, Chris",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,1,0,0,23580,Texas A&M
Totals,Totals,,200,28-60,13-29,26-38,12-32,44,21,17,18,4,6,95,23580,Texas A&M
