#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
00,"Harrison, Ronnie",*,27,6 - 15,1 - 5,10 - 14,1 - 5,6,1,2,2,1,0,23,23590,East Texas A&M
1,"Sigona, Vinny",*,22,3 - 7,2 - 6,0 - 0,0 - 0,0,3,2,1,0,1,8,23590,East Texas A&M
7,"Folarin, Michael",*,20,2 - 4,0 - 0,4 - 4,4 - 3,7,1,2,0,0,0,8,23590,East Texas A&M
25,"Hunt, Gianni",*,28,2 - 9,0 - 3,3 - 3,2 - 2,4,1,5,5,0,2,7,23590,East Texas A&M
30,"McCray, Alex",*,21,1 - 3,0 - 1,1 - 2,1 - 1,2,2,2,2,0,0,3,23590,East Texas A&M
8,"Garcia, Damian",,22,2 - 9,1 - 6,5 - 6,1 - 1,2,1,1,0,0,1,10,23590,East Texas A&M
2,"Phelps, Evan",,19,2 - 7,1 - 3,1 - 3,0 - 1,1,3,2,3,0,2,6,23590,East Texas A&M
5,"Mosher, Tay",,10,2 - 4,2 - 4,0 - 0,0 - 2,2,2,0,1,0,0,6,23590,East Texas A&M
13,"Pagotto, Noah",,15,2 - 4,0 - 1,0 - 0,2 - 3,5,1,0,0,1,0,4,23590,East Texas A&M
10,"Taylor, Josh",,16,1 - 4,0 - 0,0 - 0,3 - 2,5,1,1,2,0,2,2,23590,East Texas A&M
Totals,Totals,,200,23-66,7-29,24-32,15-21,36,16,17,16,2,8,77,23590,East Texas A&M
12,"Agee, Rashaun",*,20,9 - 10,0 - 0,3 - 4,1 - 7,8,1,3,1,2,2,21,23590,Texas A&M
00,"Hill, Marcus",*,13,5 - 5,0 - 0,3 - 6,0 - 1,1,3,1,0,0,0,13,23590,Texas A&M
21,"Mgbako, Mackenzie",*,23,5 - 12,2 - 5,0 - 0,3 - 6,9,3,3,1,0,1,12,23590,Texas A&M
9,"Dominguez, Rubén",*,15,3 - 5,3 - 4,0 - 0,0 - 0,0,0,0,0,0,1,9,23590,Texas A&M
5,"Lane, Jacari",*,18,3 - 6,1 - 2,0 - 0,2 - 1,3,1,6,0,0,1,7,23590,Texas A&M
2,"Isaacs, Pop",,19,5 - 8,5 - 7,0 - 1,0 - 1,1,0,6,2,0,0,15,23590,Texas A&M
6,"Dibba, Ali",,13,4 - 5,0 - 1,1 - 2,1 - 1,2,0,1,2,0,1,9,23590,Texas A&M
3,"Griffen, Rylan",,24,3 - 5,2 - 3,0 - 0,0 - 1,1,2,5,1,0,3,8,23590,Texas A&M
1,"Holloway, Josh",,18,4 - 6,0 - 1,0 - 1,0 - 3,3,1,3,3,1,0,8,23590,Texas A&M
4,"Vinson, Jamie",,11,3 - 5,0 - 1,1 - 1,1 - 3,4,3,1,0,1,0,7,23590,Texas A&M
14,"McDermott, Chris",,4,2 - 2,0 - 0,0 - 0,0 - 2,2,0,0,1,0,0,4,23590,Texas A&M
7,"Clemence, Zach",,7,1 - 2,1 - 2,0 - 0,0 - 1,1,2,0,2,0,0,3,23590,Texas A&M
33,"Federiko, Federiko",,8,1 - 1,0 - 0,0 - 0,0 - 2,2,1,1,1,0,1,2,23590,Texas A&M
10,"Green, Jeremiah",,5,0 - 1,0 - 1,0 - 0,0 - 0,0,0,2,0,0,0,0,23590,Texas A&M
8,"Shelby, Noah",,2,0 - 1,0 - 1,0 - 0,0 - 0,0,1,0,0,0,1,0,23590,Texas A&M
Totals,Totals,,200,48-74,14-28,8-15,10-33,43,18,32,14,4,11,118,23590,Texas A&M
