#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
10,"Haugh, Thomas",*,32,5 - 12,2 - 4,10 - 13,6 - 1,7,3,3,2,2,1,22,23617,Florida
1,"Lee, Xaivian",*,30,4 - 12,1 - 7,1 - 1,0 - 3,3,2,3,0,1,1,10,23617,Florida
9,"Chinyelu, Rueben",*,21,5 - 9,0 - 0,0 - 0,4 - 11,15,2,0,1,2,0,10,23617,Florida
00,"Fland, Boogie",*,32,4 - 9,0 - 4,1 - 2,0 - 3,3,3,4,2,0,1,9,23617,Florida
21,"Condon, Alex",*,20,1 - 4,0 - 0,2 - 3,2 - 5,7,4,3,2,1,0,4,23617,Florida
20,"Brown, Isaiah",,22,5 - 9,0 - 2,2 - 2,1 - 2,3,1,0,0,1,0,12,23617,Florida
7,"Klavzar, Urban",,20,3 - 5,3 - 5,2 - 2,0 - 1,1,2,2,1,0,0,11,23617,Florida
3,"Handlogten, Micah",,18,3 - 3,0 - 0,0 - 0,1 - 6,7,2,0,1,0,2,6,23617,Florida
11,"Ingram II, Cj",,2,1 - 4,0 - 0,0 - 0,2 - 0,2,0,0,0,0,0,2,23617,Florida
4,"Lloyd, Alex",,2,0 - 1,0 - 1,0 - 0,0 - 0,0,0,1,0,0,0,0,23617,Florida
8,"Kovatchev, Alex",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23617,Florida
12,"Mikic, Viktor",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23617,Florida
Totals,Totals,,200,31-68,6-23,18-23,17-33,50,19,16,9,7,5,86,23617,Florida
00,"Hill, Marcus",*,23,7 - 10,2 - 3,1 - 2,2 - 1,3,3,0,2,0,0,17,23617,Texas A&M
12,"Agee, Rashaun",*,30,2 - 13,0 - 5,4 - 6,4 - 7,11,3,5,1,0,3,8,23617,Texas A&M
3,"Griffen, Rylan",*,21,2 - 7,1 - 4,2 - 2,0 - 2,2,4,2,0,1,1,7,23617,Texas A&M
9,"Dominguez, Rubén",*,24,2 - 8,1 - 6,0 - 0,0 - 2,2,1,0,1,0,0,5,23617,Texas A&M
5,"Lane, Jacari",*,23,1 - 6,0 - 3,0 - 0,1 - 0,1,1,1,1,0,0,2,23617,Texas A&M
2,"Isaacs, Pop",,27,5 - 8,3 - 5,4 - 4,2 - 1,3,1,4,3,1,0,17,23617,Texas A&M
7,"Clemence, Zach",,21,2 - 8,1 - 3,2 - 2,2 - 2,4,3,1,0,1,2,7,23617,Texas A&M
6,"Dibba, Ali",,15,1 - 3,1 - 3,0 - 1,0 - 2,2,0,0,0,0,0,3,23617,Texas A&M
4,"Vinson, Jamie",,8,0 - 4,0 - 2,1 - 2,3 - 4,7,2,1,0,0,0,1,23617,Texas A&M
1,"Holloway, Josh",,8,0 - 5,0 - 0,0 - 0,0 - 0,0,2,0,1,0,0,0,23617,Texas A&M
14,"McDermott, Chris",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23617,Texas A&M
33,"Federiko, Federiko",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23617,Texas A&M
Totals,Totals,,200,22-72,9-34,14-19,19-24,43,20,14,9,3,6,67,23617,Texas A&M
