#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
8,"Wood, Hayden",*,26,5 - 7,2 - 4,0 - 0,3 - 2,5,1,2,4,1,2,12,23589,Jacksonville
33,"Rivers, Donovan",*,19,3 - 5,0 - 0,0 - 0,0 - 2,2,2,0,2,1,0,6,23589,Jacksonville
2,"Jones, Jaylen",*,25,1 - 6,0 - 1,2 - 2,0 - 0,0,4,4,4,0,0,4,23589,Jacksonville
34,"Sterck, Evan",*,20,1 - 4,1 - 3,0 - 0,0 - 0,0,3,1,2,0,2,3,23589,Jacksonville
23,"Borio, Enrico",*,19,1 - 7,1 - 6,0 - 0,2 - 4,6,0,3,1,0,1,3,23589,Jacksonville
31,"Thirdkill, Jr., Jason",,21,6 - 8,2 - 3,5 - 7,0 - 3,3,0,1,1,2,2,19,23589,Jacksonville
11,"Lockett, Chris",,26,4 - 9,1 - 4,2 - 2,0 - 0,0,4,2,1,0,1,11,23589,Jacksonville
1,"Arias, Chris",,14,3 - 7,2 - 6,1 - 2,0 - 2,2,0,1,2,0,0,9,23589,Jacksonville
22,"Caporaso, Charles",,21,0 - 2,0 - 0,4 - 4,3 - 1,4,2,0,2,1,1,4,23589,Jacksonville
9,"Harper, Michael",,9,2 - 3,0 - 0,0 - 0,0 - 2,2,2,2,0,0,1,4,23589,Jacksonville
Totals,Totals,,200,26-58,9-27,14-17,9-16,25,18,16,19,5,10,75,23589,Jacksonville
21,"Mgbako, Mackenzie",*,19,4 - 10,0 - 4,5 - 7,2 - 6,8,1,2,1,0,2,13,23589,Texas A&M
00,"Hill, Marcus",*,21,5 - 7,0 - 1,2 - 2,3 - 2,5,0,5,1,0,2,12,23589,Texas A&M
9,"Dominguez, Rubén",*,20,4 - 9,2 - 7,0 - 0,1 - 1,2,2,2,1,0,0,10,23589,Texas A&M
12,"Agee, Rashaun",*,16,3 - 5,1 - 1,2 - 2,1 - 3,4,3,2,1,0,2,9,23589,Texas A&M
5,"Lane, Jacari",*,17,1 - 1,1 - 1,0 - 0,1 - 1,2,1,5,0,0,1,3,23589,Texas A&M
3,"Griffen, Rylan",,17,7 - 8,5 - 6,0 - 0,1 - 0,1,0,1,1,1,1,19,23589,Texas A&M
4,"Vinson, Jamie",,11,6 - 6,1 - 1,1 - 3,1 - 1,2,1,0,0,1,0,14,23589,Texas A&M
6,"Dibba, Ali",,13,4 - 8,1 - 1,1 - 2,2 - 2,4,1,1,0,0,1,10,23589,Texas A&M
33,"Federiko, Federiko",,9,2 - 2,0 - 0,2 - 4,0 - 1,1,1,0,0,1,1,6,23589,Texas A&M
1,"Holloway, Josh",,17,1 - 3,0 - 0,3 - 3,1 - 3,4,0,3,4,0,1,5,23589,Texas A&M
2,"Isaacs, Pop",,19,2 - 5,0 - 1,0 - 0,0 - 3,3,2,2,1,0,2,4,23589,Texas A&M
8,"Shelby, Noah",,3,1 - 2,1 - 2,0 - 0,1 - 0,1,0,0,0,0,0,3,23589,Texas A&M
7,"Clemence, Zach",,10,1 - 3,0 - 0,0 - 0,0 - 2,2,4,2,1,0,0,2,23589,Texas A&M
14,"McDermott, Chris",,4,1 - 1,0 - 0,0 - 0,1 - 0,1,0,1,0,1,0,2,23589,Texas A&M
10,"Green, Jeremiah",,4,0 - 1,0 - 0,0 - 0,0 - 0,0,1,1,1,0,0,0,23589,Texas A&M
Totals,Totals,,200,42-71,12-25,16-23,17-25,42,17,27,12,4,13,112,23589,Texas A&M
