#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
1,"Nwoko, Michael",*,26,7 - 10,0 - 0,7 - 10,3 - 2,5,4,1,2,0,0,21,23608,LSU
3,"Mackinnon, Max",*,38,7 - 18,4 - 9,2 - 2,0 - 5,5,2,5,2,0,2,20,23608,LSU
8,"Tamba, Pablo",*,40,2 - 4,0 - 1,2 - 2,1 - 10,11,2,2,2,0,5,6,23608,LSU
2,"Reece, Jalen",*,36,2 - 7,0 - 2,0 - 0,0 - 1,1,2,7,3,0,1,4,23608,LSU
10,"Sutton, Marquel",*,29,0 - 4,0 - 2,3 - 4,2 - 3,5,1,0,2,1,3,3,23608,LSU
4,"King, Rashad",,17,3 - 6,2 - 4,2 - 2,0 - 2,2,5,0,2,0,1,10,23608,LSU
6,"Miller III, Robert",,14,4 - 4,0 - 0,0 - 0,1 - 0,1,2,0,1,3,0,8,23608,LSU
00,"Mosley, Mazi",,0,0 - 1,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,23608,LSU
7,"Carter, Pj",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23608,LSU
Totals,Totals,,200,25-54,6-19,16-20,7-23,30,18,15,16,4,12,72,23608,LSU
12,"Agee, Rashaun",*,32,4 - 10,0 - 3,7 - 9,6 - 5,11,2,1,5,0,0,15,23608,Texas A&M
9,"Dominguez, Rubén",*,30,4 - 11,4 - 9,1 - 2,0 - 3,3,1,2,0,0,0,13,23608,Texas A&M
00,"Hill, Marcus",*,22,3 - 5,0 - 1,1 - 1,1 - 5,6,2,2,0,0,2,7,23608,Texas A&M
3,"Griffen, Rylan",*,20,1 - 6,1 - 4,4 - 6,0 - 1,1,3,0,2,0,3,7,23608,Texas A&M
5,"Lane, Jacari",*,25,2 - 7,0 - 4,0 - 0,2 - 3,5,1,1,4,0,0,4,23608,Texas A&M
6,"Dibba, Ali",,16,5 - 7,2 - 2,0 - 0,2 - 1,3,0,1,0,0,1,12,23608,Texas A&M
2,"Isaacs, Pop",,23,4 - 9,1 - 4,2 - 3,1 - 1,2,1,4,0,0,1,11,23608,Texas A&M
7,"Clemence, Zach",,12,1 - 5,0 - 1,0 - 0,2 - 0,2,3,2,0,0,1,2,23608,Texas A&M
33,"Federiko, Federiko",,6,1 - 1,0 - 0,0 - 0,0 - 1,1,0,0,0,0,0,2,23608,Texas A&M
4,"Vinson, Jamie",,5,1 - 1,0 - 0,0 - 0,0 - 0,0,1,0,1,2,0,2,23608,Texas A&M
1,"Holloway, Josh",,9,0 - 0,0 - 0,0 - 0,0 - 3,3,1,0,3,0,0,0,23608,Texas A&M
Totals,Totals,,200,26-62,8-28,15-21,15-23,38,15,13,15,2,8,75,23608,Texas A&M
