#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
21,"Ljubicic, Marko",*,23,4 - 6,3 - 5,0 - 0,0 - 1,1,3,0,2,0,0,11,23586,Manhattan
00,"Dinkins, Devin",*,33,3 - 7,1 - 2,0 - 0,0 - 2,2,1,6,2,0,1,7,23586,Manhattan
3,"Roxburgh, Fraser",*,31,3 - 10,0 - 3,1 - 2,0 - 6,6,1,2,2,0,1,7,23586,Manhattan
2,"Winston, Jaden",*,19,1 - 5,1 - 2,4 - 4,0 - 3,3,1,0,2,0,1,7,23586,Manhattan
5,"Oliver-bush, Erik",*,21,2 - 3,0 - 1,2 - 2,0 - 1,1,2,1,2,1,0,6,23586,Manhattan
22,"Jones, Terrance",,26,4 - 8,3 - 3,2 - 2,1 - 1,2,2,2,2,0,0,13,23586,Manhattan
1,"Isaac, Anthony",,23,4 - 9,0 - 1,2 - 5,3 - 3,6,1,0,2,0,0,10,23586,Manhattan
10,"Elliott, Quron",,18,3 - 5,1 - 2,0 - 2,0 - 0,0,2,3,1,0,1,7,23586,Manhattan
13,"Moore, Omari",,2,0 - 2,0 - 1,0 - 2,0 - 0,0,1,0,0,0,0,0,23586,Manhattan
35,"Miguel Torrero, Asier",,2,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23586,Manhattan
11,"Lawlor, Michael",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23586,Manhattan
23,"Delaney, Jackson",,1,0 - 0,0 - 0,0 - 0,1 - 0,1,0,0,0,0,0,0,23586,Manhattan
Totals,Totals,,200,24-55,9-20,11-19,7-21,28,14,14,16,1,4,68,23586,Manhattan
9,"Dominguez, Rubén",*,28,10 - 14,10 - 14,0 - 0,1 - 4,5,0,2,0,0,1,30,23586,Texas A&M
3,"Griffen, Rylan",*,24,5 - 8,4 - 7,3 - 4,1 - 0,1,2,6,1,0,1,17,23586,Texas A&M
5,"Lane, Jacari",*,21,5 - 8,2 - 4,0 - 0,0 - 0,0,3,7,2,0,0,12,23586,Texas A&M
12,"Agee, Rashaun",*,19,3 - 4,0 - 1,3 - 4,2 - 8,10,2,3,1,0,0,9,23586,Texas A&M
21,"Mgbako, Mackenzie",*,4,0 - 2,0 - 1,0 - 0,0 - 1,1,0,0,0,0,1,0,23586,Texas A&M
00,"Hill, Marcus",,21,8 - 11,2 - 4,1 - 1,1 - 2,3,3,2,1,0,0,19,23586,Texas A&M
4,"Vinson, Jamie",,16,3 - 7,0 - 2,1 - 1,0 - 5,5,1,3,1,0,0,7,23586,Texas A&M
1,"Holloway, Josh",,21,2 - 5,0 - 1,2 - 3,1 - 1,2,2,6,1,0,2,6,23586,Texas A&M
33,"Federiko, Federiko",,12,2 - 2,0 - 0,1 - 2,0 - 1,1,2,0,0,2,0,5,23586,Texas A&M
7,"Clemence, Zach",,19,1 - 4,0 - 2,0 - 0,0 - 4,4,3,1,0,0,1,2,23586,Texas A&M
10,"Green, Jeremiah",,2,0 - 0,0 - 0,2 - 2,0 - 1,1,0,0,0,0,0,2,23586,Texas A&M
6,"Dibba, Ali",,7,0 - 1,0 - 0,0 - 0,0 - 1,1,0,2,1,1,1,0,23586,Texas A&M
8,"Shelby, Noah",,3,0 - 1,0 - 1,0 - 0,0 - 0,0,1,0,0,0,0,0,23586,Texas A&M
14,"McDermott, Chris",,3,0 - 0,0 - 0,0 - 0,0 - 1,1,1,0,0,0,0,0,23586,Texas A&M
Totals,Totals,,200,39-67,18-37,13-17,7-29,36,20,32,8,3,7,109,23586,Texas A&M
