#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Hubbard, Josh",*,30,5 - 14,2 - 8,0 - 0,0 - 2,2,2,2,3,0,0,12,23613,Mississippi St.
99,"Achor, Achor",*,16,3 - 4,0 - 0,0 - 0,3 - 7,10,1,0,2,1,0,6,23613,Mississippi St.
2,"McGhee, Ja'borri",*,14,1 - 4,0 - 1,0 - 0,0 - 0,0,3,1,4,0,0,2,23613,Mississippi St.
5,"Jones Jr., Shawn",*,18,0 - 2,0 - 1,0 - 0,0 - 0,0,2,0,0,0,0,0,23613,Mississippi St.
00,"Davis-fleming, Jamarion",*,17,0 - 0,0 - 0,0 - 1,0 - 4,4,3,0,1,1,0,0,23613,Mississippi St.
4,"Walker, Brandon",,18,7 - 10,1 - 2,1 - 1,2 - 0,2,3,0,1,0,0,16,23613,Mississippi St.
23,"Grace, King",,22,3 - 6,1 - 2,6 - 7,0 - 4,4,1,3,0,1,0,13,23613,Mississippi St.
10,"Epps, Jayden",,24,3 - 10,2 - 6,3 - 4,0 - 4,4,1,1,0,1,0,11,23613,Mississippi St.
11,"Macura, Sergej",,20,3 - 6,0 - 1,0 - 0,4 - 2,6,0,0,0,0,0,6,23613,Mississippi St.
1,"Warren, Dellquan",,12,1 - 2,0 - 1,0 - 2,0 - 1,1,1,3,0,0,1,2,23613,Mississippi St.
15,"Ballard, Quincy",,5,0 - 1,0 - 0,0 - 0,0 - 1,1,1,1,0,0,0,0,23613,Mississippi St.
14,"Ali, Amier",,4,0 - 1,0 - 1,0 - 0,0 - 1,1,0,0,0,0,0,0,23613,Mississippi St.
Totals,Totals,,200,26-60,6-23,10-15,11-28,39,18,11,13,4,1,68,23613,Mississippi St.
12,"Agee, Rashaun",*,26,7 - 14,0 - 4,9 - 9,2 - 8,10,2,5,0,0,1,23,23613,Texas A&M
3,"Griffen, Rylan",*,25,4 - 9,2 - 3,5 - 6,0 - 1,1,3,1,0,0,1,15,23613,Texas A&M
5,"Lane, Jacari",*,25,3 - 9,2 - 5,2 - 2,1 - 1,2,2,6,0,0,1,10,23613,Texas A&M
00,"Hill, Marcus",*,21,3 - 6,0 - 1,2 - 2,3 - 0,3,2,3,0,0,1,8,23613,Texas A&M
9,"Dominguez, Rubén",*,22,1 - 3,1 - 3,2 - 2,0 - 3,3,2,0,0,0,1,5,23613,Texas A&M
2,"Isaacs, Pop",,20,3 - 9,2 - 5,2 - 2,0 - 1,1,2,2,1,0,0,10,23613,Texas A&M
6,"Dibba, Ali",,19,2 - 7,1 - 3,1 - 1,0 - 3,3,0,0,0,0,0,6,23613,Texas A&M
1,"Holloway, Josh",,15,3 - 5,0 - 1,0 - 0,0 - 1,1,1,0,0,0,0,6,23613,Texas A&M
7,"Clemence, Zach",,16,1 - 2,1 - 1,0 - 0,2 - 1,3,4,1,1,1,1,3,23613,Texas A&M
4,"Vinson, Jamie",,8,1 - 4,0 - 0,0 - 0,1 - 3,4,0,0,0,2,0,2,23613,Texas A&M
33,"Federiko, Federiko",,3,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23613,Texas A&M
14,"McDermott, Chris",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23613,Texas A&M
Totals,Totals,,200,28-68,9-26,23-24,11-26,37,18,18,3,3,6,88,23613,Texas A&M
