#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
11,"Pierce, Trent",*,33,10 - 15,3 - 6,0 - 0,4 - 5,9,1,2,1,0,0,23,23618,Missouri
5,"Barrett, T.O.",*,33,8 - 13,1 - 3,0 - 1,1 - 2,3,2,4,2,1,3,17,23618,Missouri
15,"Phillips Jr., Shawn",*,20,6 - 11,0 - 0,0 - 3,4 - 4,8,3,1,3,2,0,12,23618,Missouri
17,"Stone, Jayden",*,29,4 - 11,1 - 7,2 - 2,0 - 3,3,1,1,1,0,0,11,23618,Missouri
25,"Mitchell, Mark",*,38,3 - 7,0 - 0,3 - 4,3 - 1,4,1,8,1,0,1,9,23618,Missouri
35,"Crews, Jacob",,22,3 - 3,2 - 2,3 - 3,1 - 4,5,2,0,0,0,0,11,23618,Missouri
00,"Robinson II, Anthony",,25,1 - 5,0 - 3,1 - 2,2 - 2,4,2,5,0,0,1,3,23618,Missouri
7,"Burns, Trent",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23618,Missouri
Totals,Totals,,200,35-65,7-21,9-15,16-23,39,12,21,9,3,5,86,23618,Missouri
3,"Griffen, Rylan",*,31,5 - 14,4 - 9,3 - 3,0 - 5,5,1,3,2,0,1,17,23618,Texas A&M
12,"Agee, Rashaun",*,29,4 - 5,0 - 0,5 - 5,3 - 6,9,1,4,1,2,1,13,23618,Texas A&M
00,"Hill, Marcus",*,29,3 - 7,1 - 3,1 - 2,0 - 1,1,1,2,0,0,0,8,23618,Texas A&M
5,"Lane, Jacari",*,25,2 - 4,2 - 3,0 - 0,0 - 0,0,3,2,1,0,0,6,23618,Texas A&M
9,"Dominguez, Rubén",*,15,1 - 7,1 - 6,0 - 0,0 - 0,0,0,2,0,0,0,3,23618,Texas A&M
7,"Clemence, Zach",,23,8 - 10,3 - 4,1 - 1,3 - 0,3,4,3,0,0,1,20,23618,Texas A&M
6,"Dibba, Ali",,13,3 - 3,1 - 1,0 - 2,2 - 2,4,1,1,1,0,0,7,23618,Texas A&M
1,"Holloway, Josh",,11,1 - 2,1 - 2,2 - 2,0 - 1,1,0,0,2,0,0,5,23618,Texas A&M
2,"Isaacs, Pop",,13,1 - 5,1 - 4,0 - 0,0 - 0,0,2,3,0,0,0,3,23618,Texas A&M
4,"Vinson, Jamie",,9,1 - 1,1 - 1,0 - 0,0 - 2,2,2,0,2,1,0,3,23618,Texas A&M
33,"Federiko, Federiko",,2,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23618,Texas A&M
14,"McDermott, Chris",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23618,Texas A&M
Totals,Totals,,200,29-58,15-33,12-15,8-18,26,15,20,9,3,3,85,23618,Texas A&M
