#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
00,"Williams, Money",*,33,8 - 11,5 - 6,1 - 3,0 - 5,5,5,7,6,0,2,22,23585,Montana
8,"Isaak, Tyler",*,35,5 - 10,2 - 6,1 - 2,0 - 2,2,2,7,0,0,0,13,23585,Montana
32,"Sawyer, Te'jon",*,31,3 - 7,1 - 5,2 - 2,0 - 3,3,2,2,0,0,1,9,23585,Montana
4,"Thompson, Tyler",*,25,3 - 7,3 - 6,0 - 0,0 - 5,5,4,2,1,0,0,9,23585,Montana
24,"Aguino, Kenyon",*,18,1 - 4,0 - 1,1 - 2,0 - 3,3,1,1,1,2,0,3,23585,Montana
3,"Hicks, Brooklyn",,22,7 - 9,3 - 4,1 - 2,1 - 1,2,1,0,2,0,1,18,23585,Montana
2,"Henderson, Chase",,10,1 - 3,1 - 2,1 - 2,0 - 1,1,2,3,1,0,0,4,23585,Montana
13,"Anderson, Courtney",,6,1 - 1,1 - 1,0 - 0,0 - 1,1,0,0,0,0,0,3,23585,Montana
5,"Jedkins, Amari",,14,0 - 0,0 - 0,0 - 0,2 - 3,5,2,0,0,0,0,0,23585,Montana
11,"Kepley, Grant",,4,0 - 0,0 - 0,0 - 0,0 - 0,0,1,0,1,0,0,0,23585,Montana
1,"Taylor, Trae",,2,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23585,Montana
Totals,Totals,,200,29-52,16-31,7-13,3-24,27,20,22,14,2,4,81,23585,Montana
3,"Griffen, Rylan",*,25,6 - 9,2 - 5,3 - 3,0 - 1,1,2,3,5,1,1,17,23585,Texas A&M
9,"Dominguez, Rubén",*,26,3 - 6,3 - 6,3 - 4,0 - 2,2,2,4,0,0,0,12,23585,Texas A&M
12,"Agee, Rashaun",*,21,2 - 5,0 - 2,6 - 8,2 - 8,10,2,2,0,0,0,10,23585,Texas A&M
5,"Lane, Jacari",*,16,2 - 3,0 - 0,2 - 2,0 - 1,1,2,1,1,0,0,6,23585,Texas A&M
14,"McDermott, Chris",*,3,0 - 1,0 - 1,0 - 0,1 - 0,1,0,0,0,0,0,0,23585,Texas A&M
2,"Isaacs, Pop",,23,4 - 7,0 - 2,2 - 2,0 - 2,2,3,4,2,0,1,10,23585,Texas A&M
7,"Clemence, Zach",,14,4 - 4,2 - 2,0 - 0,0 - 2,2,1,1,1,0,0,10,23585,Texas A&M
00,"Hill, Marcus",,17,3 - 6,0 - 1,3 - 5,1 - 2,3,1,2,0,0,2,9,23585,Texas A&M
4,"Vinson, Jamie",,10,4 - 5,0 - 0,0 - 0,1 - 1,2,1,0,0,1,0,8,23585,Texas A&M
1,"Holloway, Josh",,18,0 - 3,0 - 2,2 - 2,0 - 1,1,1,5,1,0,1,2,23585,Texas A&M
33,"Federiko, Federiko",,14,1 - 1,0 - 0,0 - 3,1 - 1,2,0,0,0,0,0,2,23585,Texas A&M
6,"Dibba, Ali",,8,0 - 2,0 - 0,0 - 0,0 - 1,1,1,0,0,0,1,0,23585,Texas A&M
8,"Shelby, Noah",,5,0 - 2,0 - 2,0 - 0,0 - 0,0,0,0,0,0,0,0,23585,Texas A&M
Totals,Totals,,200,29-54,7-23,21-29,7-23,30,16,22,10,2,6,86,23585,Texas A&M
