#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
5,"Thomas, Micah",*,25,9 - 16,4 - 4,6 - 6,1 - 0,1,2,1,3,1,1,28,23581,Northwestern St.
11,"Mubiru, Chris",*,27,1 - 6,1 - 2,1 - 4,3 - 4,7,2,3,3,0,0,4,23581,Northwestern St.
00,"Miles, Izzy",*,13,1 - 2,0 - 0,1 - 2,0 - 2,2,1,0,3,0,0,3,23581,Northwestern St.
21,"Riley Jr., J.C.",*,19,0 - 2,0 - 1,2 - 2,2 - 2,4,3,1,1,0,0,2,23581,Northwestern St.
3,"Jumawan, Landyn",*,19,0 - 5,0 - 4,1 - 2,0 - 3,3,2,2,1,0,1,1,23581,Northwestern St.
25,"Adegbola, Omar",,20,5 - 9,0 - 2,4 - 4,0 - 4,4,1,1,1,0,2,14,23581,Northwestern St.
13,"Redmond, Justin",,28,3 - 11,2 - 6,0 - 0,4 - 2,6,1,4,3,0,1,8,23581,Northwestern St.
8,"Loum, Moustapha",,17,3 - 4,0 - 0,0 - 0,0 - 0,0,1,1,0,2,1,6,23581,Northwestern St.
10,"Turner, Kordrick",,14,1 - 1,0 - 0,0 - 0,0 - 3,3,1,0,1,1,1,2,23581,Northwestern St.
4,"Larry, Cj",,18,0 - 2,0 - 1,0 - 1,0 - 1,1,3,0,0,1,2,0,23581,Northwestern St.
Totals,Totals,,200,23-58,7-20,15-21,10-22,32,17,13,16,5,9,68,23581,Northwestern St.
3,"Griffen, Rylan",*,22,4 - 7,1 - 4,4 - 4,0 - 4,4,3,4,2,0,3,13,23581,Texas A&M
12,"Agee, Rashaun",*,20,6 - 8,0 - 2,0 - 1,2 - 3,5,2,1,1,0,1,12,23581,Texas A&M
5,"Lane, Jacari",*,17,4 - 9,3 - 6,1 - 1,0 - 2,2,0,3,0,0,1,12,23581,Texas A&M
00,"Hill, Marcus",*,26,1 - 8,0 - 2,4 - 4,1 - 2,3,1,3,1,1,4,6,23581,Texas A&M
7,"Clemence, Zach",*,17,1 - 4,0 - 2,0 - 0,2 - 3,5,1,1,1,0,0,2,23581,Texas A&M
9,"Dominguez, Rubén",,18,5 - 8,4 - 7,4 - 5,1 - 0,1,0,0,0,2,0,18,23581,Texas A&M
1,"Holloway, Josh",,18,5 - 6,1 - 2,2 - 2,0 - 3,3,2,4,1,0,2,13,23581,Texas A&M
2,"Isaacs, Pop",,18,3 - 8,2 - 5,0 - 0,0 - 1,1,3,2,3,0,0,8,23581,Texas A&M
33,"Federiko, Federiko",,18,3 - 4,0 - 0,2 - 4,5 - 3,8,2,1,1,1,1,8,23581,Texas A&M
6,"Dibba, Ali",,16,1 - 5,0 - 0,0 - 0,0 - 5,5,2,2,1,2,0,2,23581,Texas A&M
4,"Vinson, Jamie",,3,1 - 2,0 - 0,0 - 0,1 - 0,1,2,0,0,0,0,2,23581,Texas A&M
14,"McDermott, Chris",,2,1 - 1,0 - 0,0 - 2,1 - 0,1,0,1,0,0,0,2,23581,Texas A&M
10,"Green, Jeremiah",,5,0 - 1,0 - 1,0 - 0,0 - 0,0,1,0,1,0,1,0,23581,Texas A&M
Totals,Totals,,200,35-71,11-31,17-23,17-27,44,19,22,12,6,13,98,23581,Texas A&M
