#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
9,"Pack, Nijel",*,31,8 - 20,6 - 13,2 - 2,0 - 6,6,4,5,1,0,0,24,23610,Oklahoma
35,"Reid, Derrion",*,32,6 - 10,4 - 5,3 - 5,4 - 7,11,3,1,4,0,2,19,23610,Oklahoma
13,"Davis, Tae",*,37,5 - 11,0 - 1,2 - 3,3 - 7,10,2,1,2,0,0,12,23610,Oklahoma
1,"Brown, Xzayvier",*,30,3 - 9,0 - 4,1 - 1,0 - 3,3,2,2,3,0,0,7,23610,Oklahoma
5,"Wague, Mohamed",*,18,2 - 2,0 - 0,1 - 1,3 - 2,5,4,0,1,1,1,5,23610,Oklahoma
12,"Jones, Jadon",,20,1 - 4,1 - 4,0 - 0,0 - 0,0,2,2,0,1,1,3,23610,Oklahoma
15,"Elatontsev, Kirill",,9,1 - 1,0 - 0,0 - 0,2 - 1,3,3,0,1,1,0,2,23610,Oklahoma
22,"Atak, Kuol",,9,0 - 2,0 - 2,2 - 2,1 - 0,1,0,0,1,0,0,2,23610,Oklahoma
7,"Forsythe, Dayton",,8,0 - 2,0 - 1,2 - 2,0 - 0,0,1,1,1,0,0,2,23610,Oklahoma
8,"Rogers, Kai",,4,0 - 0,0 - 0,0 - 0,1 - 0,1,1,0,0,0,0,0,23610,Oklahoma
3,"Nwankwo, Jeff",,2,0 - 1,0 - 1,0 - 0,0 - 0,0,0,0,1,0,0,0,23610,Oklahoma
Totals,Totals,,200,26-62,11-31,13-16,16-27,43,22,12,17,3,4,76,23610,Oklahoma
12,"Agee, Rashaun",*,28,5 - 9,0 - 1,6 - 7,5 - 7,12,4,2,0,2,2,16,23610,Texas A&M
3,"Griffen, Rylan",*,28,5 - 9,3 - 6,1 - 2,2 - 0,2,3,0,1,0,0,14,23610,Texas A&M
9,"Dominguez, Rubén",*,26,4 - 9,4 - 9,2 - 2,0 - 1,1,0,0,0,0,0,14,23610,Texas A&M
00,"Hill, Marcus",*,28,3 - 8,1 - 3,3 - 3,1 - 0,1,0,1,1,0,1,10,23610,Texas A&M
5,"Lane, Jacari",*,25,1 - 4,0 - 3,1 - 2,1 - 0,1,3,5,1,0,0,3,23610,Texas A&M
2,"Isaacs, Pop",,20,3 - 9,1 - 4,6 - 6,0 - 2,2,2,3,1,0,1,13,23610,Texas A&M
7,"Clemence, Zach",,9,2 - 4,1 - 3,0 - 0,0 - 4,4,3,0,3,1,0,5,23610,Texas A&M
6,"Dibba, Ali",,18,2 - 7,0 - 2,0 - 0,1 - 2,3,0,0,0,0,2,4,23610,Texas A&M
1,"Holloway, Josh",,8,1 - 2,0 - 1,2 - 3,0 - 1,1,2,1,1,0,1,4,23610,Texas A&M
33,"Federiko, Federiko",,6,0 - 0,0 - 0,0 - 0,0 - 0,0,3,0,0,1,0,0,23610,Texas A&M
4,"Vinson, Jamie",,4,0 - 1,0 - 1,0 - 0,0 - 1,1,0,0,0,1,1,0,23610,Texas A&M
Totals,Totals,,200,26-62,10-33,21-25,12-20,32,20,12,8,5,8,83,23610,Texas A&M
