#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
00,"Dia, Malik",*,25,10 - 14,0 - 1,0 - 0,0 - 5,5,3,2,4,1,0,20,23620,Ole Miss
6,"Kamardine, Ilias",*,40,5 - 10,1 - 5,1 - 1,0 - 3,3,2,4,0,1,2,12,23620,Ole Miss
23,"Pinkins, Patton",*,27,4 - 5,2 - 3,1 - 2,0 - 0,0,2,2,0,0,3,11,23620,Ole Miss
11,"Perry, Travis",*,24,3 - 7,2 - 5,0 - 0,1 - 2,3,2,1,0,0,1,8,23620,Ole Miss
4,"Scott, James",*,10,0 - 1,0 - 0,0 - 0,1 - 3,4,3,0,0,0,0,0,23620,Ole Miss
2,"Storr, Aj",,35,6 - 13,2 - 7,7 - 8,0 - 3,3,2,2,3,0,1,21,23620,Ole Miss
3,"Johnson, Koren",,28,1 - 5,0 - 4,2 - 2,0 - 2,2,4,6,0,1,1,4,23620,Ole Miss
88,"Cassia, Augusto",,7,0 - 0,0 - 0,1 - 2,0 - 0,0,0,0,0,0,0,1,23620,Ole Miss
31,"Day, Zach",,4,0 - 0,0 - 0,0 - 0,1 - 1,2,0,0,1,0,0,0,23620,Ole Miss
Totals,Totals,,200,29-55,7-25,12-15,4-19,23,18,17,11,3,8,77,23620,Ole Miss
12,"Agee, Rashaun",*,32,7 - 13,0 - 1,3 - 5,3 - 7,10,2,5,4,0,0,17,23620,Texas A&M
00,"Hill, Marcus",*,28,6 - 13,0 - 1,2 - 3,0 - 1,1,2,0,0,0,1,14,23620,Texas A&M
9,"Dominguez, Rubén",*,24,3 - 5,2 - 4,5 - 5,2 - 2,4,1,5,1,0,0,13,23620,Texas A&M
3,"Griffen, Rylan",*,24,2 - 7,2 - 6,0 - 0,1 - 2,3,4,5,2,0,0,6,23620,Texas A&M
5,"Lane, Jacari",*,11,1 - 1,1 - 1,0 - 0,1 - 0,1,0,0,2,0,0,3,23620,Texas A&M
7,"Clemence, Zach",,24,6 - 12,0 - 3,2 - 3,1 - 3,4,2,1,1,0,2,14,23620,Texas A&M
1,"Holloway, Josh",,18,2 - 2,0 - 0,0 - 0,2 - 1,3,1,1,0,0,0,4,23620,Texas A&M
6,"Dibba, Ali",,17,1 - 6,0 - 3,2 - 2,1 - 1,2,0,0,0,0,0,4,23620,Texas A&M
2,"Isaacs, Pop",,15,1 - 2,0 - 1,1 - 2,0 - 2,2,2,1,3,0,0,3,23620,Texas A&M
33,"Federiko, Federiko",,7,1 - 1,0 - 0,0 - 0,2 - 2,4,1,0,0,0,0,2,23620,Texas A&M
Totals,Totals,,200,30-62,5-20,15-20,16-21,37,15,18,13,0,3,80,23620,Texas A&M
