#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
3,"Joseph, Tai'reon",*,34,9 - 20,3 - 10,5 - 5,2 - 3,5,3,0,3,0,2,26,23591,Prairie View
13,"Wells, Cory",*,38,9 - 12,2 - 4,5 - 6,0 - 9,9,4,4,6,1,1,25,23591,Prairie View
12,"Williams, Lance",*,35,3 - 12,0 - 3,6 - 8,0 - 3,3,1,6,3,1,1,12,23591,Prairie View
2,"Horne, Dontae",*,30,3 - 10,1 - 3,4 - 6,0 - 3,3,3,2,2,1,2,11,23591,Prairie View
4,"Dunning, Corey",*,9,0 - 0,0 - 0,0 - 0,1 - 2,3,4,1,0,0,0,0,23591,Prairie View
10,"Thomas, Jannoy",,9,1 - 2,0 - 0,1 - 2,0 - 0,0,1,0,0,0,1,3,23591,Prairie View
11,"Diallo, Hassane",,9,0 - 1,0 - 0,2 - 2,2 - 0,2,3,0,0,0,0,2,23591,Prairie View
34,"Bolton Jr., Ryan",,7,1 - 1,0 - 0,0 - 0,1 - 1,2,1,0,1,0,0,2,23591,Prairie View
00,"Madimba, Joey",,22,0 - 5,0 - 2,1 - 2,0 - 3,3,1,1,0,0,0,1,23591,Prairie View
23,"Mitchell, Elijah",,4,0 - 1,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23591,Prairie View
25,"Mason, Keeshawn",,3,0 - 1,0 - 0,0 - 0,0 - 0,0,2,0,0,0,0,0,23591,Prairie View
Totals,Totals,,200,26-65,6-22,24-31,9-27,36,23,14,15,3,7,82,23591,Prairie View
12,"Agee, Rashaun",*,20,7 - 11,2 - 3,3 - 4,4 - 9,13,4,1,1,2,0,19,23591,Texas A&M
00,"Hill, Marcus",*,16,5 - 6,0 - 1,6 - 8,0 - 2,2,2,2,3,0,1,16,23591,Texas A&M
9,"Dominguez, Rubén",*,21,4 - 9,3 - 7,3 - 3,1 - 1,2,3,1,0,1,0,14,23591,Texas A&M
5,"Lane, Jacari",*,16,2 - 4,1 - 3,4 - 4,0 - 0,0,3,1,1,0,0,9,23591,Texas A&M
3,"Griffen, Rylan",*,24,2 - 6,0 - 3,4 - 5,0 - 4,4,1,5,2,0,6,8,23591,Texas A&M
2,"Isaacs, Pop",,20,5 - 9,3 - 6,0 - 1,0 - 2,2,4,3,2,0,0,13,23591,Texas A&M
1,"Holloway, Josh",,22,4 - 7,1 - 1,1 - 4,2 - 0,2,2,1,1,0,0,10,23591,Texas A&M
6,"Dibba, Ali",,22,4 - 8,0 - 1,0 - 0,1 - 4,5,3,3,0,0,5,8,23591,Texas A&M
4,"Vinson, Jamie",,10,2 - 3,0 - 1,2 - 2,1 - 4,5,3,1,2,0,0,6,23591,Texas A&M
33,"Federiko, Federiko",,13,2 - 3,0 - 0,1 - 2,3 - 2,5,0,2,0,3,0,5,23591,Texas A&M
7,"Clemence, Zach",,13,1 - 2,1 - 2,0 - 2,2 - 3,5,2,1,2,0,0,3,23591,Texas A&M
8,"Shelby, Noah",,1,0 - 1,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,23591,Texas A&M
10,"Green, Jeremiah",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23591,Texas A&M
14,"McDermott, Chris",,1,0 - 1,0 - 1,0 - 0,0 - 1,1,0,0,0,0,0,0,23591,Texas A&M
Totals,Totals,,200,38-70,11-30,24-35,14-36,50,27,21,14,6,12,111,23591,Texas A&M
