#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
5,"Johnson, Meechie",*,34,7 - 12,2 - 4,10 - 10,0 - 4,4,2,5,4,0,1,26,23614,South Carolina
4,"Knox, Kobe",*,38,7 - 14,2 - 2,2 - 2,1 - 4,5,1,1,1,0,1,18,23614,South Carolina
10,"Stute, Myles",*,35,4 - 11,3 - 7,0 - 0,2 - 3,5,1,1,0,0,2,11,23614,South Carolina
55,"Sharavjamts, Mike",*,30,2 - 7,1 - 4,0 - 0,0 - 5,5,1,4,3,3,1,5,23614,South Carolina
31,"Strong, Elijah",*,14,0 - 8,0 - 2,0 - 0,0 - 1,1,0,0,0,1,0,0,23614,South Carolina
6,"Walker, Ej",,19,2 - 3,1 - 2,0 - 0,1 - 2,3,1,1,0,1,0,5,23614,South Carolina
20,"Assemian, Hayden",,9,2 - 2,0 - 0,0 - 0,0 - 1,1,3,0,1,0,1,4,23614,South Carolina
13,"Polk, Grant",,19,0 - 4,0 - 4,0 - 0,0 - 2,2,2,0,1,0,0,0,23614,South Carolina
00,"Butler, Jordan",,2,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23614,South Carolina
Totals,Totals,,200,24-61,9-25,12-12,7-23,30,11,12,10,5,6,69,23614,South Carolina
3,"Griffen, Rylan",*,24,6 - 11,3 - 5,1 - 1,3 - 3,6,2,5,1,1,2,16,23614,Texas A&M
12,"Agee, Rashaun",*,26,4 - 10,1 - 3,2 - 2,1 - 6,7,2,3,0,1,1,11,23614,Texas A&M
9,"Dominguez, Rubén",*,28,3 - 10,3 - 10,0 - 0,0 - 4,4,1,1,1,1,1,9,23614,Texas A&M
5,"Lane, Jacari",*,24,3 - 5,0 - 2,2 - 2,1 - 4,5,2,7,2,0,1,8,23614,Texas A&M
00,"Hill, Marcus",*,22,1 - 5,0 - 1,3 - 3,2 - 4,6,2,2,1,0,0,5,23614,Texas A&M
7,"Clemence, Zach",,15,7 - 8,7 - 8,0 - 0,0 - 2,2,2,0,1,3,0,21,23614,Texas A&M
2,"Isaacs, Pop",,23,4 - 9,2 - 7,1 - 2,2 - 2,4,0,3,1,0,0,11,23614,Texas A&M
6,"Dibba, Ali",,16,4 - 7,1 - 2,0 - 0,1 - 1,2,1,0,0,0,0,9,23614,Texas A&M
4,"Vinson, Jamie",,5,1 - 3,0 - 0,0 - 0,2 - 0,2,0,0,0,0,0,2,23614,Texas A&M
1,"Holloway, Josh",,13,0 - 1,0 - 1,0 - 0,0 - 0,0,1,4,1,0,1,0,23614,Texas A&M
33,"Federiko, Federiko",,4,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23614,Texas A&M
Totals,Totals,,200,33-69,17-39,9-10,13-30,43,13,25,9,6,6,92,23614,Texas A&M
