#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,28,7 - 15,2 - 6,5 - 10,0 - 3,3,2,3,0,1,1,21,23616,Texas A&M
00,"Hill, Marcus",*,23,8 - 13,2 - 6,0 - 1,1 - 5,6,4,1,0,0,1,18,23616,Texas A&M
3,"Griffen, Rylan",*,30,3 - 5,3 - 5,8 - 9,2 - 4,6,2,2,3,0,0,17,23616,Texas A&M
5,"Lane, Jacari",*,28,2 - 7,0 - 3,4 - 4,1 - 2,3,4,5,0,0,1,8,23616,Texas A&M
9,"Dominguez, Rubén",*,22,0 - 2,0 - 2,1 - 2,1 - 2,3,2,4,0,0,1,1,23616,Texas A&M
4,"Vinson, Jamie",,8,4 - 5,1 - 2,0 - 0,0 - 4,4,0,0,0,1,0,9,23616,Texas A&M
2,"Isaacs, Pop",,15,3 - 9,1 - 3,0 - 0,0 - 4,4,1,2,1,0,0,7,23616,Texas A&M
1,"Holloway, Josh",,12,2 - 3,1 - 1,2 - 2,0 - 2,2,2,4,1,0,1,7,23616,Texas A&M
7,"Clemence, Zach",,16,2 - 2,2 - 2,0 - 0,0 - 2,2,4,0,0,0,1,6,23616,Texas A&M
6,"Dibba, Ali",,15,1 - 4,1 - 1,0 - 0,0 - 1,1,3,1,1,0,0,3,23616,Texas A&M
33,"Federiko, Federiko",,3,0 - 0,0 - 0,0 - 0,0 - 1,1,2,0,0,0,0,0,23616,Texas A&M
14,"McDermott, Chris",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23616,Texas A&M
Totals,Totals,,200,32-65,13-31,20-28,5-31,36,26,22,6,2,6,97,23616,Texas A&M
2,"Holloway, Aden",*,34,5 - 11,1 - 6,9 - 12,1 - 5,6,2,4,2,0,1,20,23616,Alabama
00,"Philon, Labaron",*,36,7 - 13,3 - 7,0 - 0,2 - 2,4,1,3,0,0,2,17,23616,Alabama
3,"Wrightsell Jr., Latrell",*,33,6 - 14,4 - 11,0 - 0,0 - 2,2,1,3,1,0,0,16,23616,Alabama
5,"Allen, Amari",*,29,4 - 10,2 - 8,2 - 4,0 - 7,7,3,6,1,0,2,12,23616,Alabama
22,"Sherrell, Aiden",*,23,0 - 4,0 - 3,8 - 8,3 - 5,8,3,1,0,3,1,8,23616,Alabama
95,"Mallette, Houston",,15,4 - 9,4 - 8,0 - 0,2 - 3,5,5,1,1,0,0,12,23616,Alabama
6,"Jemison, London",,11,4 - 6,2 - 4,0 - 1,0 - 4,4,1,0,0,0,0,10,23616,Alabama
14,"Bediako, Charles",,19,1 - 2,0 - 1,3 - 7,4 - 0,4,2,1,1,1,0,5,23616,Alabama
Totals,Totals,,200,31-69,16-48,22-32,13-31,44,18,19,6,4,6,100,23616,Alabama
