#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,29,5 - 9,1 - 3,6 - 7,1 - 6,7,2,4,2,0,0,17,23622,Texas A&M
00,"Hill, Marcus",*,22,3 - 8,0 - 1,4 - 5,0 - 3,3,3,2,1,0,1,10,23622,Texas A&M
3,"Griffen, Rylan",*,26,3 - 6,1 - 3,0 - 2,0 - 3,3,2,5,3,0,0,7,23622,Texas A&M
5,"Lane, Jacari",*,24,2 - 3,1 - 2,0 - 0,1 - 1,2,3,3,2,0,0,5,23622,Texas A&M
9,"Dominguez, Rubén",*,13,0 - 2,0 - 2,0 - 0,0 - 3,3,2,1,0,0,0,0,23622,Texas A&M
7,"Clemence, Zach",,25,11 - 14,3 - 6,4 - 5,1 - 1,2,5,0,2,0,1,29,23622,Texas A&M
6,"Dibba, Ali",,19,3 - 8,1 - 5,2 - 4,0 - 3,3,2,0,1,0,0,9,23622,Texas A&M
2,"Isaacs, Pop",,24,2 - 5,1 - 3,0 - 0,0 - 1,1,1,2,2,0,1,5,23622,Texas A&M
1,"Holloway, Josh",,5,1 - 2,0 - 0,0 - 0,0 - 0,0,0,1,2,0,0,2,23622,Texas A&M
33,"Federiko, Federiko",,12,0 - 0,0 - 0,0 - 0,1 - 0,1,2,0,0,1,0,0,23622,Texas A&M
4,"Vinson, Jamie",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23622,Texas A&M
Totals,Totals,,200,30-57,8-25,16-23,6-22,28,22,18,16,1,3,84,23622,Texas A&M
24,"Richmond III, Billy",*,34,8 - 13,1 - 2,6 - 6,1 - 1,2,3,3,2,1,2,23,23622,Arkansas
5,"Acuff Jr., Darius",*,37,7 - 19,1 - 6,7 - 9,0 - 5,5,1,7,2,0,3,22,23622,Arkansas
7,"Brazile, Trevon",*,31,4 - 6,1 - 3,5 - 6,4 - 4,8,4,3,1,0,1,14,23622,Arkansas
1,"Thomas, Meleek",*,30,5 - 13,1 - 3,2 - 2,0 - 3,3,1,0,1,0,3,13,23622,Arkansas
23,"Pringle, Nick",*,6,0 - 0,0 - 0,0 - 0,1 - 0,1,2,0,1,0,0,0,23622,Arkansas
12,"Ewin, Malique",,34,6 - 7,0 - 0,6 - 6,7 - 2,9,4,4,2,2,0,18,23622,Arkansas
21,"Wagner, D.J.",,28,3 - 7,0 - 3,3 - 4,0 - 4,4,2,1,0,1,0,9,23622,Arkansas
Totals,Totals,,200,33-65,4-17,29-33,13-23,36,17,18,9,4,9,99,23622,Arkansas
