#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
5,"Lane, Jacari",*,30,4 - 9,3 - 6,6 - 7,4 - 3,7,4,0,1,0,1,17,23609,Texas A&M
9,"Dominguez, Rubén",*,30,4 - 8,4 - 7,2 - 2,0 - 4,4,0,2,1,0,1,14,23609,Texas A&M
12,"Agee, Rashaun",*,27,6 - 10,0 - 3,2 - 3,1 - 6,7,4,1,2,1,1,14,23609,Texas A&M
3,"Griffen, Rylan",*,31,4 - 6,1 - 2,0 - 0,3 - 3,6,4,1,0,1,3,9,23609,Texas A&M
00,"Hill, Marcus",*,12,2 - 5,0 - 1,0 - 0,0 - 1,1,0,0,1,0,1,4,23609,Texas A&M
2,"Isaacs, Pop",,29,7 - 12,4 - 8,3 - 5,0 - 2,2,2,5,3,1,0,21,23609,Texas A&M
6,"Dibba, Ali",,20,4 - 8,1 - 2,0 - 1,3 - 2,5,2,4,1,0,2,9,23609,Texas A&M
7,"Clemence, Zach",,6,1 - 2,0 - 1,0 - 0,1 - 0,1,1,0,0,0,0,2,23609,Texas A&M
33,"Federiko, Federiko",,10,0 - 1,0 - 0,0 - 0,0 - 0,0,4,1,1,1,2,0,23609,Texas A&M
1,"Holloway, Josh",,3,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,2,0,0,0,23609,Texas A&M
4,"Vinson, Jamie",,2,0 - 0,0 - 0,0 - 2,0 - 0,0,0,0,0,0,0,0,23609,Texas A&M
Totals,Totals,,200,32-61,13-30,13-20,12-22,34,21,14,14,4,11,90,23609,Texas A&M
7,"Hall, Keyshawn",*,37,8 - 15,3 - 5,13 - 16,5 - 7,12,3,3,3,2,0,32,23609,Auburn
1,"Overton, Kevin",*,35,6 - 16,2 - 7,2 - 2,2 - 1,3,3,1,1,0,1,16,23609,Auburn
33,"Williams-adams, Sebastian",*,30,4 - 6,1 - 2,2 - 5,3 - 1,4,3,2,3,1,2,11,23609,Auburn
3,"Murphy, Keshawn",*,27,4 - 8,0 - 1,0 - 1,5 - 3,8,0,1,1,1,0,8,23609,Auburn
5,"Magwood, Kaden",*,8,0 - 2,0 - 1,0 - 0,0 - 2,2,2,1,3,0,0,0,23609,Auburn
00,"Pettiford, Tahaad",,32,3 - 9,1 - 6,4 - 5,0 - 4,4,3,2,2,0,0,11,23609,Auburn
6,"Freeman, Elyjah",,15,3 - 6,0 - 2,2 - 2,2 - 1,3,2,0,0,1,1,8,23609,Auburn
10,"Walker, Simon",,9,1 - 3,0 - 2,0 - 0,1 - 1,2,0,1,0,0,1,2,23609,Auburn
38,"Jovic, Filip",,7,0 - 0,0 - 0,0 - 0,0 - 0,0,1,0,0,0,0,0,23609,Auburn
Totals,Totals,,200,29-65,7-26,23-31,19-21,40,17,11,13,5,5,88,23609,Auburn
