#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
9,"Dominguez, Rubén",*,26,7 - 13,7 - 12,0 - 0,1 - 3,4,3,1,1,0,0,21,23588,Texas A&M
12,"Agee, Rashaun",*,25,4 - 11,0 - 2,9 - 12,7 - 10,17,1,1,1,0,1,17,23588,Texas A&M
21,"Mgbako, Mackenzie",*,17,3 - 8,2 - 6,2 - 2,2 - 3,5,5,1,2,0,0,10,23588,Texas A&M
00,"Hill, Marcus",*,21,3 - 8,1 - 3,0 - 0,1 - 2,3,0,5,1,0,3,7,23588,Texas A&M
5,"Lane, Jacari",*,23,2 - 7,2 - 5,0 - 0,1 - 2,3,2,3,4,0,2,6,23588,Texas A&M
2,"Isaacs, Pop",,21,4 - 9,3 - 6,4 - 4,1 - 2,3,2,3,2,0,1,15,23588,Texas A&M
1,"Holloway, Josh",,13,3 - 3,0 - 0,2 - 2,2 - 1,3,1,3,2,0,2,8,23588,Texas A&M
6,"Dibba, Ali",,15,2 - 5,0 - 0,1 - 2,1 - 1,2,1,1,1,0,3,5,23588,Texas A&M
4,"Vinson, Jamie",,12,1 - 2,0 - 0,2 - 3,1 - 4,5,1,1,0,0,0,4,23588,Texas A&M
33,"Federiko, Federiko",,5,1 - 1,0 - 0,0 - 0,0 - 0,0,0,0,0,0,1,2,23588,Texas A&M
7,"Clemence, Zach",,19,0 - 1,0 - 0,0 - 0,1 - 7,8,1,1,0,0,0,0,23588,Texas A&M
8,"Shelby, Noah",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23588,Texas A&M
10,"Green, Jeremiah",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23588,Texas A&M
14,"McDermott, Chris",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23588,Texas A&M
Totals,Totals,,200,30-68,15-34,20-25,22-38,60,17,20,16,0,13,95,23588,Texas A&M
5,"Magee, Kobe",*,24,7 - 15,4 - 10,3 - 4,3 - 0,3,1,0,0,0,1,21,23588,Florida St.
7,"Wiggins, Chauncey",*,24,3 - 14,1 - 6,0 - 0,2 - 3,5,0,0,1,0,0,7,23588,Florida St.
10,"Jones, Lajae",*,25,1 - 8,1 - 6,0 - 0,1 - 4,5,2,0,2,1,0,3,23588,Florida St.
6,"McCray V, Robert",*,28,1 - 10,0 - 4,0 - 0,1 - 2,3,3,11,4,1,1,2,23588,Florida St.
25,"Steen, Alex",*,15,0 - 1,0 - 0,2 - 4,5 - 2,7,3,1,2,2,2,2,23588,Florida St.
1,"Somerville, Martin",,22,3 - 6,3 - 6,0 - 0,1 - 4,5,3,0,1,0,5,9,23588,Florida St.
2,"Miles, Cam",,23,3 - 10,0 - 6,1 - 2,1 - 0,1,2,0,4,0,2,7,23588,Florida St.
19,"Swinton, Aj",,12,2 - 3,0 - 1,0 - 0,0 - 0,0,3,1,0,1,0,4,23588,Florida St.
4,"Muhammad, Shahid",,13,1 - 1,0 - 0,1 - 3,1 - 3,4,0,0,0,0,0,3,23588,Florida St.
3,"Bassong, Thomas",,11,0 - 4,0 - 1,1 - 4,0 - 1,1,1,0,1,0,0,1,23588,Florida St.
12,"Maluk, Alier",,3,0 - 1,0 - 1,0 - 0,1 - 0,1,0,0,0,0,0,0,23588,Florida St.
Totals,Totals,,200,21-73,9-41,8-17,20-20,40,18,13,16,5,11,59,23588,Florida St.
