#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,29,5 - 10,2 - 4,6 - 6,5 - 10,15,3,7,3,1,0,18,23615,Texas A&M
00,"Hill, Marcus",*,22,7 - 9,1 - 2,0 - 0,2 - 1,3,1,1,1,1,0,15,23615,Texas A&M
9,"Dominguez, Rubén",*,29,4 - 10,2 - 8,3 - 4,0 - 2,2,0,2,1,0,1,13,23615,Texas A&M
5,"Lane, Jacari",*,24,2 - 6,1 - 3,4 - 4,3 - 1,4,3,3,3,0,1,9,23615,Texas A&M
3,"Griffen, Rylan",*,22,2 - 8,1 - 4,0 - 0,0 - 4,4,1,2,3,0,1,5,23615,Texas A&M
6,"Dibba, Ali",,19,6 - 10,3 - 4,0 - 0,1 - 1,2,2,0,1,1,1,15,23615,Texas A&M
2,"Isaacs, Pop",,26,3 - 8,3 - 6,2 - 2,1 - 5,6,0,0,1,0,1,11,23615,Texas A&M
1,"Holloway, Josh",,13,0 - 2,0 - 0,2 - 2,0 - 3,3,1,1,0,0,1,2,23615,Texas A&M
7,"Clemence, Zach",,10,0 - 3,0 - 3,2 - 2,1 - 1,2,1,0,0,0,0,2,23615,Texas A&M
4,"Vinson, Jamie",,5,1 - 1,0 - 0,0 - 0,1 - 1,2,1,1,0,0,1,2,23615,Texas A&M
33,"Federiko, Federiko",,1,0 - 0,0 - 0,0 - 0,0 - 1,1,0,0,0,0,0,0,23615,Texas A&M
Totals,Totals,,200,30-67,13-34,19-20,14-32,46,13,17,14,3,7,92,23615,Texas A&M
5,"Wilkinson, Jeremiah",*,36,6 - 18,1 - 10,4 - 5,1 - 6,7,1,5,3,2,3,17,23615,Georgia
6,"Catchings, Kanon",*,29,6 - 14,2 - 6,0 - 0,3 - 2,5,0,0,1,0,0,14,23615,Georgia
00,"Cain, Blue",*,27,5 - 13,2 - 6,2 - 2,0 - 1,1,1,3,0,0,0,14,23615,Georgia
2,"Cyril, Somto",*,9,2 - 5,0 - 0,0 - 0,2 - 0,2,2,0,0,0,0,4,23615,Georgia
3,"Ross, Jordan",*,17,0 - 2,0 - 1,1 - 2,0 - 3,3,2,4,0,0,2,1,23615,Georgia
11,"James, Dylan",,26,6 - 10,0 - 0,1 - 1,8 - 5,13,2,0,1,2,1,13,23615,Georgia
4,"Millender, Marcus",,30,5 - 11,2 - 3,0 - 0,1 - 1,2,4,2,2,0,1,12,23615,Georgia
7,"Bailey, Justin",,10,1 - 4,0 - 1,0 - 0,0 - 0,0,4,0,1,0,1,2,23615,Georgia
1,"Stagg, Kareem",,12,0 - 1,0 - 1,0 - 0,0 - 3,3,2,0,2,1,1,0,23615,Georgia
25,"Abson, Justin",,4,0 - 0,0 - 0,0 - 0,0 - 2,2,0,0,0,0,0,0,23615,Georgia
Totals,Totals,,200,31-78,7-28,8-10,16-23,39,18,14,10,5,9,77,23615,Georgia
