#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
2,"Isaacs, Pop",*,23,2 - 11,1 - 8,3 - 4,0 - 1,1,1,0,0,0,0,8,23583,Texas A&M
12,"Agee, Rashaun",*,27,3 - 8,1 - 3,0 - 0,2 - 5,7,4,0,3,2,0,7,23583,Texas A&M
3,"Griffen, Rylan",*,27,2 - 7,2 - 6,0 - 0,2 - 3,5,1,1,1,0,0,6,23583,Texas A&M
5,"Lane, Jacari",*,9,1 - 2,0 - 1,0 - 0,1 - 0,1,2,2,0,0,0,2,23583,Texas A&M
33,"Federiko, Federiko",*,21,0 - 4,0 - 0,0 - 0,2 - 2,4,3,0,1,1,0,0,23583,Texas A&M
00,"Hill, Marcus",,21,4 - 8,1 - 3,5 - 7,0 - 1,1,3,1,5,0,0,14,23583,Texas A&M
9,"Dominguez, Rubén",,23,3 - 8,3 - 8,0 - 0,0 - 2,2,2,4,0,0,0,9,23583,Texas A&M
7,"Clemence, Zach",,20,3 - 7,1 - 4,2 - 2,3 - 3,6,1,1,1,1,1,9,23583,Texas A&M
1,"Holloway, Josh",,18,1 - 4,0 - 1,4 - 4,0 - 3,3,2,2,3,1,1,6,23583,Texas A&M
6,"Dibba, Ali",,9,1 - 2,0 - 0,0 - 0,0 - 3,3,0,0,1,0,0,2,23583,Texas A&M
4,"Vinson, Jamie",,2,0 - 1,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,23583,Texas A&M
Totals,Totals,,200,20-62,9-35,14-17,14-25,39,19,11,15,5,2,63,23583,Texas A&M
5,"Miller, Vyctorius",*,23,5 - 9,0 - 3,5 - 5,0 - 4,4,4,5,2,0,0,15,23583,Oklahoma St.
00,"Curry, Jaylen",*,32,5 - 12,0 - 4,2 - 2,0 - 4,4,3,4,1,0,3,12,23583,Oklahoma St.
22,"Fallah, Parsa",*,24,3 - 4,1 - 1,3 - 5,3 - 4,7,1,1,1,1,1,10,23583,Oklahoma St.
1,"Clary, Kanye",*,7,1 - 2,1 - 1,0 - 0,0 - 1,1,0,0,0,0,1,3,23583,Oklahoma St.
25,"Jennings, Robert",*,9,0 - 3,0 - 1,0 - 0,2 - 0,2,1,0,0,0,1,0,23583,Oklahoma St.
4,"Coleman, Christian",,22,6 - 9,2 - 3,2 - 2,1 - 2,3,3,0,0,2,2,16,23583,Oklahoma St.
21,"Coleman, Isaiah",,32,6 - 14,1 - 5,2 - 4,2 - 7,9,1,2,3,0,1,15,23583,Oklahoma St.
72,"Mantzoukas, Lefteris",,18,4 - 6,0 - 1,0 - 1,0 - 3,3,4,1,1,1,0,8,23583,Oklahoma St.
24,"Crotty, Ryan",,20,2 - 5,2 - 5,0 - 0,0 - 1,1,2,0,0,0,0,6,23583,Oklahoma St.
19,"Vukovic, Andrija",,11,0 - 0,0 - 0,2 - 4,1 - 1,2,0,0,1,0,0,2,23583,Oklahoma St.
7,"Cole, Kirk",,1,0 - 2,0 - 2,0 - 0,0 - 0,0,0,0,0,0,0,0,23583,Oklahoma St.
13,"Ragland, Mekhi",,1,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23583,Oklahoma St.
Totals,Totals,,200,32-66,7-26,16-23,12-30,42,19,13,9,4,9,87,23583,Oklahoma St.
