#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,30,7 - 13,2 - 4,2 - 2,1 - 6,7,2,1,1,0,1,18,23621,Texas A&M
3,"Griffen, Rylan",*,31,5 - 10,3 - 6,1 - 2,2 - 3,5,2,1,0,2,3,14,23621,Texas A&M
00,"Hill, Marcus",*,27,3 - 9,0 - 1,2 - 2,4 - 1,5,4,2,1,0,0,8,23621,Texas A&M
5,"Lane, Jacari",*,19,1 - 3,0 - 2,3 - 3,0 - 1,1,3,3,0,0,0,5,23621,Texas A&M
9,"Dominguez, Rubén",*,18,2 - 7,1 - 2,0 - 0,0 - 2,2,1,1,0,0,1,5,23621,Texas A&M
7,"Clemence, Zach",,24,3 - 8,1 - 5,2 - 3,2 - 3,5,4,4,2,2,0,9,23621,Texas A&M
2,"Isaacs, Pop",,15,2 - 3,2 - 2,0 - 0,0 - 2,2,2,0,1,0,0,6,23621,Texas A&M
1,"Holloway, Josh",,18,2 - 3,1 - 1,0 - 4,0 - 2,2,1,0,0,0,1,5,23621,Texas A&M
6,"Dibba, Ali",,11,2 - 5,0 - 1,0 - 0,0 - 2,2,0,1,0,0,0,4,23621,Texas A&M
4,"Vinson, Jamie",,2,0 - 1,0 - 1,1 - 2,1 - 0,1,1,0,0,0,0,1,23621,Texas A&M
33,"Federiko, Federiko",,5,0 - 0,0 - 0,0 - 2,0 - 1,1,0,1,0,0,0,0,23621,Texas A&M
Totals,Totals,,200,27-62,10-25,11-20,14-25,39,20,14,5,4,6,75,23621,Texas A&M
5,"Wague, Mohamed",*,25,3 - 6,0 - 1,6 - 8,6 - 7,13,3,0,2,2,1,12,23621,Oklahoma
35,"Reid, Derrion",*,23,2 - 6,1 - 3,6 - 8,4 - 1,5,3,1,2,1,0,11,23621,Oklahoma
1,"Brown, Xzayvier",*,29,4 - 11,2 - 4,0 - 0,0 - 1,1,1,2,0,0,0,10,23621,Oklahoma
9,"Pack, Nijel",*,29,2 - 9,2 - 5,0 - 0,1 - 3,4,1,1,1,1,0,6,23621,Oklahoma
13,"Davis, Tae",*,26,1 - 8,0 - 0,2 - 2,4 - 6,10,3,0,1,0,0,4,23621,Oklahoma
7,"Forsythe, Dayton",,30,4 - 10,2 - 6,4 - 4,0 - 1,1,3,6,1,0,1,14,23621,Oklahoma
12,"Jones, Jadon",,20,2 - 4,2 - 4,0 - 0,2 - 5,7,1,1,1,1,1,6,23621,Oklahoma
22,"Atak, Kuol",,10,2 - 6,2 - 6,0 - 0,0 - 1,1,3,0,0,0,0,6,23621,Oklahoma
15,"Elatontsev, Kirill",,8,0 - 1,0 - 1,2 - 2,0 - 0,0,1,0,0,0,0,2,23621,Oklahoma
Totals,Totals,,200,20-61,11-30,20-24,18-26,44,19,11,8,5,3,71,23621,Oklahoma
