#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,28,7 - 14,1 - 1,6 - 7,4 - 9,13,0,4,0,2,4,21,23503,Texas A&M
9,"Dominguez, Rubén",*,30,5 - 10,4 - 8,4 - 4,1 - 1,2,1,0,0,0,0,18,23503,Texas A&M
5,"Lane, Jacari",*,31,5 - 8,0 - 2,4 - 4,0 - 0,0,1,5,0,0,2,14,23503,Texas A&M
21,"Mgbako, Mackenzie",*,20,2 - 5,2 - 4,0 - 0,2 - 1,3,3,0,4,0,0,6,23503,Texas A&M
00,"Hill, Marcus",*,20,1 - 2,0 - 1,1 - 2,0 - 0,0,1,1,2,0,0,3,23503,Texas A&M
3,"Griffen, Rylan",,21,2 - 6,1 - 3,4 - 4,0 - 3,3,1,0,1,0,0,9,23503,Texas A&M
7,"Clemence, Zach",,12,1 - 5,0 - 0,1 - 1,2 - 0,2,1,1,0,0,1,3,23503,Texas A&M
2,"Isaacs, Pop",,9,1 - 2,1 - 2,0 - 0,0 - 0,0,0,1,1,0,0,3,23503,Texas A&M
1,"Holloway, Josh",,9,1 - 3,0 - 1,0 - 0,0 - 2,2,0,1,1,0,0,2,23503,Texas A&M
33,"Federiko, Federiko",,8,1 - 1,0 - 0,0 - 0,0 - 2,2,3,1,0,0,1,2,23503,Texas A&M
6,"Dibba, Ali",,9,0 - 3,0 - 1,0 - 0,1 - 2,3,1,1,0,0,0,0,23503,Texas A&M
4,"Vinson, Jamie",,3,0 - 0,0 - 0,0 - 0,0 - 0,0,1,1,0,1,0,0,23503,Texas A&M
Totals,Totals,,200,26-59,9-23,20-22,14-22,36,13,16,9,3,8,81,23503,Texas A&M
22,"Dunning Jr., Barry",*,38,9 - 14,0 - 1,0 - 0,7 - 5,12,0,2,2,2,1,18,23503,Pittsburgh
2,"Corhen, Cameron",*,39,6 - 8,0 - 1,3 - 4,2 - 6,8,2,0,3,1,0,15,23503,Pittsburgh
7,"Minor, Damarco",*,34,4 - 8,4 - 8,2 - 2,0 - 2,2,4,2,1,1,1,14,23503,Pittsburgh
8,"Witherspoon, Omari",*,32,2 - 10,1 - 4,2 - 3,0 - 1,1,3,8,2,0,2,7,23503,Pittsburgh
13,"Siulepa, Roman",*,11,2 - 5,0 - 2,0 - 2,0 - 1,1,1,0,0,0,0,4,23503,Pittsburgh
25,"Indrusaitis, Nojus",,25,6 - 14,3 - 8,0 - 0,1 - 3,4,2,1,3,0,1,15,23503,Pittsburgh
3,"Cummings, Brandin",,19,0 - 2,0 - 2,0 - 0,0 - 0,0,2,0,0,0,1,0,23503,Pittsburgh
12,"Mullen, Kieran",,2,0 - 0,0 - 0,0 - 0,1 - 0,1,0,0,0,0,0,0,23503,Pittsburgh
Totals,Totals,,200,29-61,8-26,7-11,12-20,32,14,13,11,4,6,73,23503,Pittsburgh
