#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
00,"Hill, Marcus",*,36,8 - 16,1 - 3,8 - 15,2 - 5,7,5,2,1,0,0,25,23568,Texas A&M
12,"Agee, Rashaun",*,36,3 - 10,1 - 2,6 - 8,5 - 6,11,3,3,0,0,2,13,23568,Texas A&M
21,"Mgbako, Mackenzie",*,31,4 - 13,3 - 9,2 - 2,1 - 6,7,2,1,1,1,0,13,23568,Texas A&M
9,"Dominguez, Rubén",*,19,1 - 4,0 - 3,0 - 0,0 - 1,1,2,1,0,0,0,2,23568,Texas A&M
5,"Lane, Jacari",*,19,1 - 5,0 - 4,0 - 0,0 - 1,1,1,5,2,0,1,2,23568,Texas A&M
3,"Griffen, Rylan",,28,2 - 8,1 - 7,4 - 6,1 - 1,2,2,5,5,2,3,9,23568,Texas A&M
2,"Isaacs, Pop",,24,3 - 10,2 - 6,1 - 1,0 - 1,1,2,2,3,0,0,9,23568,Texas A&M
33,"Federiko, Federiko",,6,2 - 2,0 - 0,0 - 0,1 - 0,1,2,0,0,0,0,4,23568,Texas A&M
4,"Vinson, Jamie",,3,1 - 1,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,2,23568,Texas A&M
1,"Holloway, Josh",,10,0 - 1,0 - 0,1 - 2,2 - 0,2,2,1,2,0,0,1,23568,Texas A&M
7,"Clemence, Zach",,8,0 - 0,0 - 0,0 - 0,1 - 1,2,1,1,2,0,0,0,23568,Texas A&M
6,"Dibba, Ali",,5,0 - 1,0 - 0,0 - 0,0 - 2,2,2,0,0,0,0,0,23568,Texas A&M
Totals,Totals,,225,25-71,8-34,22-34,16-26,42,24,21,16,3,6,80,23568,Texas A&M
5,"Pierre Jr., Jaron",*,40,13 - 21,3 - 8,6 - 6,1 - 4,5,4,0,1,0,1,35,23568,SMU
2,"Miller, Boopie",*,40,4 - 13,1 - 6,10 - 10,0 - 6,6,4,4,5,0,2,19,23568,SMU
3,"Washington, Corey",*,36,5 - 9,1 - 3,3 - 3,2 - 1,3,3,0,1,1,1,14,23568,SMU
24,"Yigitoglu, Samet",*,25,6 - 8,0 - 0,0 - 0,3 - 5,8,5,1,0,2,1,12,23568,SMU
00,"Edwards, B.J.",*,43,2 - 8,0 - 2,5 - 6,1 - 8,9,3,11,3,0,3,9,23568,SMU
7,"O'neal Jr., Jermaine",,13,1 - 1,0 - 0,0 - 0,0 - 0,0,2,1,0,0,1,2,23568,SMU
10,"Toombs, Jaden",,10,0 - 3,0 - 0,2 - 3,0 - 2,2,3,0,0,1,0,2,23568,SMU
13,"Holmes, Mitchell",,13,0 - 0,0 - 0,0 - 0,0 - 1,1,2,0,0,0,0,0,23568,SMU
9,"Davis-ray, B.J.",,5,0 - 3,0 - 3,0 - 0,0 - 1,1,0,0,0,0,0,0,23568,SMU
Totals,Totals,,225,31-66,5-22,26-28,8-29,37,26,17,11,4,9,93,23568,SMU
