#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
5,"Lane, Jacari",*,42,5 - 11,3 - 6,7 - 10,0 - 3,3,4,9,4,1,2,20,23611,Texas A&M
9,"Dominguez, Rubén",*,39,4 - 11,4 - 11,3 - 4,1 - 1,2,2,1,0,0,1,15,23611,Texas A&M
12,"Agee, Rashaun",*,38,4 - 8,0 - 1,3 - 5,5 - 4,9,5,1,2,2,1,11,23611,Texas A&M
3,"Griffen, Rylan",*,36,3 - 8,2 - 6,2 - 2,0 - 2,2,5,1,2,0,1,10,23611,Texas A&M
00,"Hill, Marcus",*,20,1 - 6,0 - 3,2 - 2,0 - 5,5,3,0,1,1,0,4,23611,Texas A&M
2,"Isaacs, Pop",,34,5 - 13,4 - 11,2 - 5,1 - 5,6,2,4,4,0,3,16,23611,Texas A&M
7,"Clemence, Zach",,11,1 - 4,0 - 3,2 - 3,0 - 0,0,5,0,0,0,1,4,23611,Texas A&M
6,"Dibba, Ali",,13,1 - 2,0 - 0,0 - 1,1 - 0,1,1,0,0,0,0,2,23611,Texas A&M
1,"Holloway, Josh",,7,0 - 2,0 - 2,0 - 0,0 - 1,1,2,0,0,0,2,0,23611,Texas A&M
33,"Federiko, Federiko",,7,0 - 0,0 - 0,0 - 0,0 - 1,1,1,0,0,0,1,0,23611,Texas A&M
4,"Vinson, Jamie",,3,0 - 1,0 - 0,0 - 0,0 - 0,0,0,0,0,2,0,0,23611,Texas A&M
8,"Shelby, Noah",,0,0 - 0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23611,Texas A&M
Totals,Totals,,250,24-66,13-43,21-32,10-25,35,30,16,13,6,12,82,23611,Texas A&M
10,"Ament, Nate",*,43,7 - 16,0 - 4,9 - 11,3 - 4,7,2,2,4,2,0,23,23611,Tennessee
00,"Gillespie, Ja'kobi",*,48,5 - 19,2 - 11,6 - 8,1 - 3,4,5,5,3,0,6,18,23611,Tennessee
3,"Boswell, Bishop",*,43,2 - 5,1 - 1,8 - 12,5 - 6,11,4,3,3,0,1,13,23611,Tennessee
34,"Okpara, Felix",*,39,3 - 3,0 - 0,4 - 5,3 - 9,12,1,0,2,0,0,10,23611,Tennessee
6,"Brown II, Dewayne",*,5,1 - 3,0 - 0,0 - 0,1 - 1,2,2,0,0,0,0,2,23611,Tennessee
23,"Carey, Jaylen",,21,3 - 6,0 - 0,4 - 6,3 - 6,9,1,1,1,1,0,10,23611,Tennessee
24,"Henderson, Troy",,22,3 - 6,2 - 5,0 - 0,0 - 1,1,3,0,0,0,2,8,23611,Tennessee
77,"Abram, Amaree",,9,1 - 3,1 - 2,0 - 0,0 - 1,1,1,0,0,0,0,3,23611,Tennessee
1,"Evans, Amari",,11,0 - 1,0 - 1,0 - 0,1 - 4,5,3,1,0,0,0,0,23611,Tennessee
13,"Estrella, J.P.",,9,0 - 5,0 - 0,0 - 0,3 - 0,3,1,0,3,0,1,0,23611,Tennessee
Totals,Totals,,250,25-67,6-24,31-42,24-36,60,23,12,19,3,10,87,23611,Tennessee
