#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
12,"Agee, Rashaun",*,33,6 - 14,0 - 2,5 - 8,1 - 10,11,3,3,0,0,0,17,23612,Texas A&M
3,"Griffen, Rylan",*,25,6 - 7,4 - 5,1 - 2,0 - 1,1,3,1,0,1,0,17,23612,Texas A&M
9,"Dominguez, Rubén",*,27,3 - 7,1 - 4,3 - 3,0 - 4,4,2,3,0,0,0,10,23612,Texas A&M
5,"Lane, Jacari",*,29,2 - 4,1 - 3,3 - 4,1 - 0,1,3,3,1,0,0,8,23612,Texas A&M
00,"Hill, Marcus",*,20,1 - 4,0 - 1,0 - 0,0 - 0,0,2,1,1,0,3,2,23612,Texas A&M
6,"Dibba, Ali",,22,4 - 6,0 - 0,0 - 2,1 - 3,4,0,1,0,0,2,8,23612,Texas A&M
2,"Isaacs, Pop",,21,2 - 5,1 - 2,0 - 0,1 - 3,4,3,0,1,0,0,5,23612,Texas A&M
4,"Vinson, Jamie",,6,2 - 3,0 - 1,0 - 0,0 - 1,1,4,0,0,1,0,4,23612,Texas A&M
7,"Clemence, Zach",,6,1 - 2,1 - 2,0 - 0,0 - 0,0,1,0,0,0,0,3,23612,Texas A&M
1,"Holloway, Josh",,11,0 - 1,0 - 0,0 - 0,0 - 1,1,1,2,2,0,0,0,23612,Texas A&M
Totals,Totals,,200,27-53,8-20,12-19,6-24,30,22,14,6,2,5,74,23612,Texas A&M
3,"Swain, Dailyn",*,37,6 - 11,0 - 2,5 - 7,0 - 6,6,3,0,2,0,2,17,23612,Texas
00,"Pope, Jordan",*,33,5 - 12,4 - 9,3 - 3,0 - 3,3,2,3,1,0,0,17,23612,Texas
8,"Vokietaitis, Matas",*,30,3 - 4,0 - 0,8 - 12,1 - 8,9,1,0,2,1,0,14,23612,Texas
12,"Mark, Tramon",*,32,6 - 14,1 - 4,0 - 0,0 - 3,3,2,3,0,0,0,13,23612,Texas
5,"Heide, Camden",*,27,1 - 2,1 - 2,0 - 0,3 - 2,5,3,0,1,0,1,3,23612,Texas
7,"Wilcher, Simeon",,14,0 - 6,0 - 3,4 - 4,0 - 1,1,1,3,1,0,0,4,23612,Texas
2,"Weaver, Chendall",,17,1 - 4,0 - 1,0 - 0,2 - 1,3,3,0,1,0,0,2,23612,Texas
23,"Traore, Lassina",,10,0 - 0,0 - 0,0 - 0,2 - 2,4,1,1,0,1,1,0,23612,Texas
Totals,Totals,,200,22-53,6-21,20-26,11-26,37,16,10,8,2,4,70,23612,Texas
