#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
00,"Hill, Marcus",*,32,9 - 16,1 - 4,1 - 2,2 - 2,4,2,1,2,0,2,20,23619,Texas A&M
12,"Agee, Rashaun",*,28,3 - 12,0 - 1,2 - 4,3 - 8,11,0,0,1,2,0,8,23619,Texas A&M
3,"Griffen, Rylan",*,22,2 - 8,1 - 7,0 - 0,1 - 1,2,5,4,1,0,0,5,23619,Texas A&M
5,"Lane, Jacari",*,20,1 - 6,1 - 3,0 - 0,0 - 0,0,1,2,0,0,0,3,23619,Texas A&M
9,"Dominguez, Rubén",*,19,1 - 6,1 - 4,0 - 0,0 - 1,1,1,0,1,0,0,3,23619,Texas A&M
6,"Dibba, Ali",,22,3 - 8,1 - 3,2 - 4,3 - 5,8,1,0,1,0,2,9,23619,Texas A&M
7,"Clemence, Zach",,13,4 - 5,1 - 2,0 - 0,1 - 1,2,5,0,2,0,0,9,23619,Texas A&M
2,"Isaacs, Pop",,24,3 - 8,2 - 5,0 - 0,1 - 1,2,4,2,0,0,1,8,23619,Texas A&M
33,"Federiko, Federiko",,14,1 - 1,0 - 0,0 - 0,2 - 2,4,4,1,1,1,1,2,23619,Texas A&M
1,"Holloway, Josh",,4,1 - 2,0 - 0,0 - 0,0 - 0,0,1,0,0,0,0,2,23619,Texas A&M
4,"Vinson, Jamie",,2,0 - 0,0 - 0,0 - 0,0 - 1,1,0,0,1,0,0,0,23619,Texas A&M
Totals,Totals,,200,28-72,8-29,5-10,16-23,39,24,10,11,3,6,69,23619,Texas A&M
5,"Nickel, Tyler",*,35,8 - 14,5 - 11,4 - 5,0 - 3,3,0,1,1,1,0,25,23619,Vanderbilt
10,"Okereke, Ak",*,33,5 - 8,2 - 4,11 - 14,2 - 3,5,3,3,2,0,2,23,23619,Vanderbilt
99,"McGlockton, Devin",*,27,6 - 10,1 - 3,4 - 4,4 - 4,8,3,0,0,1,0,17,23619,Vanderbilt
3,"Tanner, Tyler",*,31,2 - 10,0 - 3,0 - 0,0 - 3,3,4,6,1,0,3,4,23619,Vanderbilt
13,"Washington, Jalen",*,20,0 - 3,0 - 1,2 - 4,1 - 7,8,1,2,2,0,1,2,23619,Vanderbilt
7,"Bing, Chandler",,31,4 - 9,1 - 4,2 - 2,3 - 3,6,1,0,1,1,0,11,23619,Vanderbilt
00,"James, Mike",,19,0 - 1,0 - 1,0 - 0,0 - 3,3,4,2,0,0,0,0,23619,Vanderbilt
8,"Harris, Tyler",,4,0 - 2,0 - 2,0 - 0,0 - 0,0,0,0,1,0,0,0,23619,Vanderbilt
Totals,Totals,,200,25-57,9-29,23-29,12-28,40,16,14,9,3,6,82,23619,Vanderbilt
