#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
23,"Posey, Duane",*,21,3 - 8,0 - 0,2 - 4,2 - 2,4,5,1,1,0,0,8,23582,Texas Southern
5,"Wysinger, Jaylen",*,24,2 - 4,0 - 2,2 - 3,0 - 2,2,5,3,3,1,1,6,23582,Texas Southern
14,"Granger, Kolby",*,14,1 - 2,1 - 2,2 - 2,1 - 2,3,2,1,2,0,0,5,23582,Texas Southern
8,"Andrews, Anthony",*,20,1 - 1,0 - 0,0 - 0,0 - 2,2,1,2,4,0,0,2,23582,Texas Southern
34,"Gorecki, Jordan",*,17,0 - 1,0 - 0,1 - 4,1 - 1,2,1,0,1,0,0,1,23582,Texas Southern
11,"Patterson, Cameron",,25,8 - 10,0 - 1,2 - 3,2 - 6,8,2,3,3,0,0,18,23582,Texas Southern
2,"Hupstead, Troy",,28,6 - 12,3 - 5,0 - 1,1 - 8,9,3,1,4,0,0,15,23582,Texas Southern
00,"Anderson, Alex",,23,2 - 5,0 - 2,6 - 8,0 - 0,0,3,2,2,0,1,10,23582,Texas Southern
15,"Nedal Abdelrahman, Ahmed",,14,1 - 2,1 - 2,0 - 0,1 - 0,1,1,2,1,0,1,3,23582,Texas Southern
12,"Mortle, Zytarious",,14,1 - 4,0 - 1,0 - 0,0 - 0,0,1,2,2,0,0,2,23582,Texas Southern
Totals,Totals,,200,25-49,5-15,15-25,9-24,33,24,17,23,1,3,70,23582,Texas Southern
12,"Agee, Rashaun",*,17,6 - 9,1 - 4,3 - 4,0 - 1,1,2,3,0,2,1,16,23582,Texas A&M
3,"Griffen, Rylan",*,22,5 - 8,3 - 5,1 - 1,1 - 1,2,1,5,0,0,3,14,23582,Texas A&M
33,"Federiko, Federiko",*,25,3 - 4,0 - 0,3 - 6,2 - 4,6,4,3,0,0,1,9,23582,Texas A&M
2,"Isaacs, Pop",*,21,2 - 6,2 - 5,0 - 0,0 - 1,1,3,1,1,1,2,6,23582,Texas A&M
5,"Lane, Jacari",*,15,2 - 5,1 - 3,0 - 0,2 - 2,4,0,4,0,0,0,5,23582,Texas A&M
00,"Hill, Marcus",,19,4 - 6,0 - 2,5 - 9,1 - 2,3,2,0,2,0,2,13,23582,Texas A&M
1,"Holloway, Josh",,18,4 - 4,1 - 1,3 - 4,0 - 3,3,1,3,3,0,3,12,23582,Texas A&M
9,"Dominguez, Rubén",,20,2 - 7,1 - 6,5 - 5,0 - 2,2,1,1,0,0,2,10,23582,Texas A&M
6,"Dibba, Ali",,13,3 - 5,2 - 3,1 - 2,0 - 3,3,2,1,0,0,0,9,23582,Texas A&M
7,"Clemence, Zach",,14,1 - 4,0 - 2,2 - 2,0 - 1,1,4,0,1,0,0,4,23582,Texas A&M
4,"Vinson, Jamie",,7,0 - 1,0 - 0,3 - 4,0 - 1,1,3,0,1,0,0,3,23582,Texas A&M
8,"Shelby, Noah",,2,1 - 1,1 - 1,0 - 0,0 - 0,0,0,0,0,0,0,3,23582,Texas A&M
10,"Green, Jeremiah",,5,0 - 1,0 - 0,0 - 0,0 - 0,0,1,1,0,0,0,0,23582,Texas A&M
14,"McDermott, Chris",,2,0 - 0,0 - 0,0 - 0,0 - 0,0,0,1,0,0,0,0,23582,Texas A&M
Totals,Totals,,200,33-61,12-32,26-37,7-21,28,24,23,8,3,14,104,23582,Texas A&M
