#,Player,gs,min,fg,3pt,ft,orb-drb,reb,pf,a,to,blk,stl,pts,game_id,team
99,"Burks, Jordan",*,24,7 - 11,5 - 7,2 - 2,1 - 3,4,3,2,1,1,0,21,23584,UCF
2,"Kugel, Riley",*,33,5 - 12,1 - 3,1 - 2,1 - 0,1,3,5,3,0,2,12,23584,UCF
1,"Fulks, Themus",*,35,2 - 6,1 - 2,6 - 6,0 - 3,3,1,9,3,0,2,11,23584,UCF
7,"Bol, John",*,15,4 - 5,0 - 0,3 - 3,1 - 2,3,4,1,0,1,2,11,23584,UCF
4,"Stillwell, Jamichael",*,28,0 - 2,0 - 2,2 - 2,0 - 9,9,3,4,3,1,2,2,23584,UCF
11,"Pacheco, Carmelo",,20,5 - 6,5 - 6,0 - 0,0 - 3,3,0,1,0,0,0,15,23584,UCF
5,"Parker, Kris",,16,3 - 6,1 - 2,2 - 2,0 - 1,1,2,0,2,0,0,9,23584,UCF
3,"Beale Jr., George",,5,1 - 4,1 - 3,0 - 0,0 - 1,1,2,1,1,0,0,3,23584,UCF
00,"Foumena, Jeremy",,4,1 - 1,0 - 0,0 - 0,0 - 1,1,0,0,0,0,0,2,23584,UCF
35,"Cambridge, Devan",,12,0 - 3,0 - 3,0 - 0,1 - 2,3,1,0,1,0,0,0,23584,UCF
22,"Johnson, Chris",,5,0 - 0,0 - 0,0 - 0,0 - 0,0,3,0,2,0,0,0,23584,UCF
9,"Hulsewe, Elijah",,3,0 - 0,0 - 0,0 - 0,2 - 0,2,1,0,0,0,0,0,23584,UCF
Totals,Totals,,200,28-56,14-28,16-17,6-27,33,23,23,16,3,8,86,23584,UCF
00,"Hill, Marcus",*,29,4 - 11,2 - 6,4 - 6,1 - 1,2,2,2,1,0,0,14,23584,Texas A&M
12,"Agee, Rashaun",*,29,3 - 8,0 - 5,7 - 9,0 - 8,8,2,2,3,0,2,13,23584,Texas A&M
2,"Isaacs, Pop",*,25,2 - 6,2 - 5,5 - 6,0 - 2,2,1,0,4,0,0,11,23584,Texas A&M
33,"Federiko, Federiko",*,21,0 - 3,0 - 0,2 - 2,3 - 3,6,3,3,0,1,2,2,23584,Texas A&M
3,"Griffen, Rylan",*,18,0 - 3,0 - 3,0 - 0,0 - 0,0,0,4,1,0,1,0,23584,Texas A&M
1,"Holloway, Josh",,18,5 - 6,2 - 2,0 - 0,1 - 0,1,4,2,5,0,2,12,23584,Texas A&M
7,"Clemence, Zach",,17,4 - 8,1 - 1,3 - 3,2 - 3,5,1,2,0,0,0,12,23584,Texas A&M
9,"Dominguez, Rubén",,29,3 - 8,2 - 6,2 - 2,1 - 3,4,1,0,0,0,1,10,23584,Texas A&M
14,"McDermott, Chris",,10,0 - 0,0 - 0,0 - 2,0 - 1,1,1,0,0,0,0,0,23584,Texas A&M
5,"Lane, Jacari",,2,0 - 2,0 - 1,0 - 0,0 - 0,0,1,0,0,0,0,0,23584,Texas A&M
6,"Dibba, Ali",,2,0 - 2,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,23584,Texas A&M
Totals,Totals,,200,21-57,9-29,23-30,10-22,32,16,15,14,1,8,74,23584,Texas A&M
